㔂	lân
斡	uat
斤	kin, kun
斥	thik
斧	póo, hú
斬	tsánn, tsám
斯	su, suh
新	sin
斷	tn̄g, tuān, tuàn
方	hong, hng, png
於	î
施	si, sì
旁	pông
旅	lí, lú
旋	suan, tsn̄g, suân
族	tso̍k
旗	kî
既	kì
日	ji̍t, li̍t, --li̍t, --ji̍t
旦	tuànn, tàn
旨	tsí
早	tsá, tsái
旬	sûn
旭	hiok
旱	huānn, uānn, hān
旺	ōng
昂	gông
昆	khun
昇	sing
昊	hō
昌	tshiong
明	bîng, bîn, mê, miâ
昏	hng, hūn, hun
易	i̍k, ia̍h, ī
昔	sik
星	tshenn, tshinn, san, sing
映	ìng, iòng
春	tshun
昧	māi
昨	tsa, tso̍h
昭	tsiau
是	sī, si, --sī
昱	io̍k
晁	tiâu
時	sî, --sî
晃	huánn
晉	tsìn
晏	uànn, àn
晚	mńg, buán
晝	tàu, tiù
晟	tshiânn, sīng
晡	poo
晨	sîn
晬	tsè
普	phóo, puh
景	kíng
晴	tsîng, tsênn
晶	tsinn, tsing
智	tì
晾	nê
暇	hā
暈	n̄g, ūn
暉	hui
暑	sú
暖	luán
暗	àm
暝	mê, mî
暢	thiòng
暨	kì
暫	tsiām
暮	bōo
暱	li̍k, li̍t
暴	pō, pok, po̍k
曆	li̍k, la̍h
曉	hiáu
曖	ài
曜	iāu
曝	pha̍k, pho̍k
曠	khòng
曰	ua̍t
曲	khiau, khik, khiok
更	kenn, king, kinn, kìng
曷	a̍h
書	su, tsu
曹	tsô
曼	bān
曾	tsîng, tsan, tsing
替	thè, thuè
最	tsuè
會	ē, huē, hē, kuè
月	gue̍h, ge̍h, gua̍t, --ge̍h, --gue̍h
有	ū, iú
朋	pîng
服	ho̍k
朒	tsut
朔	sok
朕	tīm
朗	lóng, láng
望	bāng, bōng
朝	tiâu, tiau
期	kî, ki
木	bo̍k, ba̍k
未	buē, bī, bē
末	bua̍h, bua̍t
本	pún, pńg
札	tsat
朱	tsu
朴	phoh
朽	hiú
杆	kan, kuann, kuainn
杉	sam
李	lí
杏	hīng
材	tsâi
村	tshun, tshuan
杓	sia̍h
杖	thn̄g, tiōng
杙	khi̍t
杜	tōo
杞	kí
束	sok
杭	hâng
杮	phuè
杯	pue
杰	kia̍t
東	tang, tong
杵	thú
杷	pê
松	siông, tshîng, sóng
板	pán, pang
枇	pî
枉	óng
枋	pang
析	sik
枕	tsím
林	nâ, lîm, ná
果	kó, kué, ké
枝	ki, tsi
枯	koo
枴	kuái, kuáinn
枵	iau
架	kè, khuè, kà, khè
枷	kê, kha, ka
枸	kóo
柄	pènn, pìnn, pìng
柏	pik, peh
某	bóo
柑	kam
染	ní, jiám, liám
柔	jiû, liû
柙	kah
柚	iū
柝	kho̍k
查	tsa, tshâ
柩	kiū
柫	put
柬	kán
柯	kua, kho
柱	thiāu, tsū
柳	liú
柴	tshâ
柵	sa, tshik
柿	khī
栓	sng, tshng
栗	li̍k, la̍t
校	hāu, kàu
株	tu, tsu
栱	kông, kong, kóng
核	hi̍k, hu̍t, ha̍t
根	kin, kun
格	keh, kik, ga
栽	tsai
栿	pha̍k, ho̍k
桀	kia̍t
桂	kuì
桃	thô, tô
桅	uî
框	khing, khong
案	àn, uànn
桌	toh
桐	tông, tâng
桑	sng, song, sáng
桔	kiat
桮	pue, pe
桱	kènn, kìnn
桶	tháng
桷	kak
桸	hia
桿	kuáinn
梁	niû
梅	muê, muî, m̂, buê
梓	tsú
梔	ki
梗	kíng, kénn
梘	kíng
條	tiâu, liâu
梟	hiau
梢	sau
梧	ngôo, gôo
梨	lâi, lê
梭	so
梯	thui, the
械	hāi
梳	se, sue
梵	huān
棄	khì
棉	mî, biân
棋	kî
棍	kùn
棑	pâi
棒	pāng
棕	tsang
棗	tsó
棚	pênn, pînn, pîng
棟	tòng, tàng
棠	tông
棧	tsàn
森	sim
棰	tshê, tshuê
棲	tshe
棺	kuan, kuann
椅	í
植	si̍t, ti̍t
椏	ue
椒	tsio, tsiau
椪	phòng
椰	iâ
楊	iûnn, iông, tshiûnn
楓	png, hong
楔	seh
楗	kīng
楚	tshó, tshóo
楝	līng, liān
楞	gông
楠	lâm
楣	bâi
楦	hùn
楬	at
業	gia̍p
極	ki̍k
楷	khái
楹	ênn, îng
概	kài, khài
榆	liû, jiû
榔	lông, nn̂g
榕	tshîng, iông
榛	tsin
榜	pńg, póng
榨	tsà
榫	sún
榮	îng
榴	liû
榻	thap, thah
構	kòo
槌	thuî
槍	tshiunn
槐	huâi
槓	kǹg, không
槔	oo
槤	liân
槳	tsiúnn
槺	khong
槽	tsô
樂	lo̍k, ga̍k, ngāu
樊	hân, huân
樑	niû, liông
樓	lâu
標	piau, pio, phiau
樞	tshu
樟	tsiunn, tsiong
樠	miâ
模	bôo
樣	iūnn, iōng
樵	tsiâu
樸	phoh, phok
樹	tshiū, sū
樺	huā, huâ
橂	tīng
橄	kan, kann, kám
橋	kiô, kiâu
橐	lok, lop, lak
橛	kue̍h
機	ki, kui
橫	huâinn, huînn, hîng
檀	tuânn, tân
檔	tóng, tòng
檜	kuè
檠	kiânn
檢	kiám
檨	suāinn
檫	tshat
檬	bóng
檯	tâi
檳	pin
檸	lê
櫃	kuī
櫓	lóo
櫞	înn
櫥	tû
櫳	lang, lông
櫻	ing
櫼	tsinn
欄	nuâ, lân
欉	tsâng
權	khuân, kuân
欖	ná, lám
欠	khiàm
次	tshù
欣	him
欱	hap
欲	beh, bueh, io̍k
欶	suh
欸	eh, --eh
欹	khia
欺	khi
欽	khim
款	khuán, khuánn
歁	khám
歆	him
歇	hioh
歉	khiàm, khiam
歌	kua, ko
歎	thàn
歐	au, io
歕	pûn
歡	huann, huan
止	tsí
正	tsiànn, tsìng, tsiann
此	tshú
步	pōo
武	bú
歧	kî
歪	uai, uainn
歲	huè, hè, suè
歷	li̍k
歸	kui
歹	pháinn, phái, tái
死	sí, --sí, sú
殃	iong
殉	sûn
殊	sû
殕	phú
殖	si̍t, si̍k
殗	giān
殘	tsân, tshân, tsuânn
殭	khiong
殮	liām
殯	pin
段	tuānn, tuān
殷	ûn, in, un
殺	sat
殼	khak, khok
殿	tiān
毀	huí
毅	gī, gē
毋	m̄
母	bú, bó, bió
每	muí
毒	to̍k, thāu, ta̍k
比	pí
毛	mn̂g, môo, moo
毫	hô, hôo
毬	kiû
毯	thán
毽	kiàn
毿	sàm
氅	tsháng
氈	tsinn
氏	sī, --sī
民	bîn
氛	hun
氣	khì, khuì
氧	ióng
水	tsuí, suí
永	íng
汁	tsiap
求	kiû
汐	si̍p, si̍k
汗	kuānn, hān
汙	u, ù
江	kang, káng
池	tî
污	u
汪	ong
汫	tsiánn
汰	thuā, thài
汴	piān, pān
決	kuat
汽	khì
沃	ak
沈	sím
沉	tîm, tiâm
沌	tūn
沐	bak, bo̍k
沒	bu̍t
沓	ta̍uh, ta̍p
沕	bi̍t
沖	tshiâng, tshiong
沙	sua, sa, se
沛	phài
沢	tshioh
沫	phue̍h, phe̍h
沬	bī
河	hô
沸	huì
油	iû
治	tī
沼	kū, tsau
沾	tsam
沿	iân
況	hóng
泄	tshuā, siat
泅	siû
泉	tsuânn, tsuân
泊	phik, po̍k
泌	pì
泏	tsuah, tsuat, tsuh
泓	hông
泔	ám
法	huat
泛	huàn, huān
泡	phàu, pho, pho̍k, phò
波	pho
泣	khip
泥	nî
注	tsù, tù
泰	thài
泱	iann, iong
泳	íng
泵	pōng
洄	huê
洋	iûnn, iông
洒	sè
洗	sé, sué
洘	khó
洛	lo̍k, lok
洞	tōng
津	tin, tsin
洩	sia̍p
洪	âng, hông
洲	tsiu
活	ua̍h, hua̍t
派	phài
流	lâu, liû
浙	tsiat
浞	tshio̍k
浡	phu̍h, phū
浦	phóo
浩	hō
浪	lōng, lâng
浮	phû, hû
浴	i̍k, io̍k
海	hái
浸	tsìm
涂	thôo, tôo
消	siau
涉	sia̍p
涎	siân
涗	suè, sè
涯	gâi
液	sio̍h, i̍k
涵	âm, hâm
涸	khok
涼	liâng, niû
淇	kî
淋	lâm, lîm
淑	siok
淒	tshe
淘	tô
淚	luī
淡	tām, tānn
淨	tsīng
淪	lûn
淫	îm
淮	huâi
深	tshim
淵	ian
混	hūn
淹	im
淺	tshián, khín
添	thiam, thinn
清	tshing, tshinn
減	kiám
渝	lû, û, jû
渡	tōo, tāu
渣	tse
渧	tè
測	tshik
港	káng
渴	khuah, khat
游	iû
渺	biáu
渾	hûn
湖	ôo
湘	siong
湠	thuànn
湢	pih
湧	íng, ióng
湯	thng, thong
湳	làm
溉	kài
源	guân
準	tsún
溜	liu, liù
溝	kau, koo
溡	tshî
溢	ik
溪	khe, khue, khenn
溫	un
溯	sòo
溶	iûnn, iông
溺	li̍k
溼	sip
滂	phōng
滄	tshong
滅	bia̍t
滇	tīnn, tian
滋	tsu
滑	ku̍t
滒	kō
滓	tái, lái, tsáinn
滬	hōo
滯	tù, tī
滲	siàm
滴	tih, tik
滷	lóo
滸	hóo
滾	kún
滿	muá, buán
漁	hî, hû, gû
漂	phiò, phiau, phiàu
漆	tshat
漉	lo̍k, lok
漏	lāu, lōo
演	ián
漖	kà
漚	àu, au, áu
漠	bo̍k
漢	hàn, hān
漩	suān
漫	bān
漲	tiùnn, tiòng
漳	tsiang, tsiong
漸	tsiām
漿	tsiunn, tsiong
潑	phuah, phuat
潔	kiat
潘	phun, phuann, phuan
潛	tsiâm
潢	hông
潤	jūn, lūn
潦	ló
潭	thâm
潮	tiâu, tiau, tiô
潰	khuì
潲	siâu
潺	tshan
澀	siap
澄	tîng
澈	thiat
澍	tshū
澎	phênn, phînn
澗	kán
澡	tsó
澤	ti̍k
澩	ha̍unnh
澳	ò, ù
澹	tâm
激	kik
濁	lô, to̍k, ta̍k
濃	lông, long
濆	bùn
濟	tsē, tsè, tsuē
濤	tôo, tô
濫	lām
濱	pin
濺	tsuānn
濾	lī
瀉	sià
瀘	lū
瀚	hān
瀟	siau
瀧	liông
瀨	luā
瀳	tshînn
瀾	nuā, lân, liân
灇	tsâng
灌	kuàn
灑	sá
灘	thuann, than
灣	uân, uan
火	hué, hé, hónn
灰	hue
灶	tsàu, tsò
灸	kù
災	tsai, tse
炊	tshue, tshe
炎	iām
炒	tshá
炕	khòng
炙	tsià
炤	tshiō
炫	hiān
炭	thuànn
炮	phàu
炰	pû
炱	te
炳	píng
炸	tsà, tsuànn, tsia̍h
為	uī, uî
烈	lia̍t
烌	hu
烏	oo, u
烘	hang, hōng, hong
烙	lō, lo̍k
烰	phû
烹	phing
焐	ù
焗	ko̍k
焙	puē
焚	hûn
焠	tshuh
無	bô, bû, --bô
焦	ta, na, tsiau
焰	iām
焱	iānn
然	jiân, liân
煉	liān
煌	hông
煎	tsian, tsuann
煏	piak
煙	ian
煞	suah, sannh, sat
煠	sa̍h
煡	khi̍t
煤	muê
煥	huàn
照	tsiàu, tsiò
煨	ue
煩	huân
煬	iāng, iông
煮	tsú
煽	siàn
熁	hannh
熄	sit
熇	ho
熊	hîm
熏	hun
熔	iûnn, iông
熗	tshìng
熟	si̍k, sio̍k
熥	thn̄g, thang
熨	ut
熬	gô
熱	jia̍t, jua̍h, lia̍t, lua̍h
燃	hiânn, jiân, liân
燄	iām
燈	ting
燉	tūn
燒	sio
燕	iàn, ìnn, ian
燖	tīm
燙	thǹg
燜	būn
營	iânn, îng
燥	sò
燦	tshàn
燭	tsik, tsiok
爁	nah
爆	po̍k
爍	sih
爐	lôo
爛	nuā, lān
爪	jiáu, niáu, liáu
爬	pê
爭	tsing, tsenn, tsinn
爵	tsiok, tsik
父	hū
爸	pē, pah, pâ
爹	tia
爺	iâ
爻	ngâu
爽	sóng, sńg
爾	niā, nī
爿	pîng
牆	tshiûnn
片	phìnn, phiàn
版	pán
牌	pâi
牒	tia̍p
牘	to̍k
牙	gê, gâ
牚	thènn, thìnn
牛	gû, giû
牟	bôo
牡	bóo
牢	tiâu, lô
牧	bo̍k
物	mi̍h, mih, bu̍t, mn̍gh
牲	sing, senn, sinn
特	ti̍k
牽	khan, khian
犀	sai, se
犁	lê
犅	káng
犒	khò
犢	to̍k
犧	hi
犬	khián
犯	huān
狀	tsiōng, tsōng, tsn̄g
狂	kông
狄	ti̍k
狎	a̍p
狐	hôo
狗	káu, kóo
狡	káu
狸	lî
狹	e̍h, hia̍p, ue̍h
狼	lông
狽	puē
猊	lî, jî
猌	gīn
猖	tshiong
猛	mé, bíng
猜	tshai
猩	sing
猫	bâ
猴	kâu
猶	iáu, iu, iû
猾	ku̍t
獄	ga̍k, gi̍k
獅	sai
獎	tsióng, tsiáng
獠	liâu
獨	to̍k, ta̍k
獵	la̍h, lia̍p
獸	siù
獺	thuah
獻	hiàn
玄	hiân
率	lu̍t, sut
玉	gio̍k, gi̍k
王	ông
玩	uán, guán
玫	muî
玲	lin, lîng, lîn
玻	po
珊	suan
珍	tin, tsin
珞	lo̍k
珠	tsu
班	pan
珮	puè
現	hiān, hiàn
球	kiû, khiû
理	lí
琉	liû
琢	tok
琦	kî
琪	kî
琳	lîm
琴	khîm
琵	pî
琶	pê, pâ
瑋	uí
瑕	hâ
瑙	ló
瑚	ôo
瑛	ing
瑜	jû, lû, û
瑞	suī, tsuí
瑟	sik, sit
瑣	só
瑤	iâu
瑩	îng
瑪	má, bé
瑯	long, lông
瑰	kuì
璃	lê, lî
璇	suān
璋	tsiong
璞	phok, phoh
環	khuân, huân
璿	suân
瓊	khîng, khiông
瓜	kue, kua
瓢	phiô
瓣	bān
瓤	nn̂g, liông, jiông
瓦	hiā, uá
瓶	pân
瓷	huî
甄	tsin
甌	au
甍	bòng
甓	phia̍h
甕	àng, pênn
甘	kam
甚	sīm
甜	tinn
生	sing, senn, sinn, tshenn, tshinn
產	sán
甥	sing
甦	soo
用	iōng, īng
甪	lut
甫	hú
甭	bàng
田	tshân, tiân, tiān
由	iû
甲	kah, kap
申	sin
男	lâm
町	ting
界	kè, kài, kuè
畏	uì
畔	puān
留	lâu, liû
畚	pùn, pūn
畜	thik, thiok
畝	bóo
畢	pit
略	lio̍h, lio̍k
番	huan, han
畫	uē
異	ī
當	tàng, tng, tong, tang, tòng, tǹg
疆	kiong
疊	tha̍h, thia̍p, thiap
疏	soo, se, sòo
疑	gî
疔	ting
疕	phí
疤	pa
疥	kè, kuè
疧	khî
疫	i̍k, ia̍h
疱	phā
疲	phî
疳	kam
疵	tshû
疶	tshuah
疸	thán
疹	tsín
疼	thiànn
疾	tsi̍t, tsi̍k
痀	ku
病	pēnn, pīnn, pīng
症	tsìng
痔	tī
痕	hûn
痘	tōo, tāu
痚	he
痛	thàng, thòng
痞	phí
痟	siáu, siau
痠	sng
痡	pôo
痢	lī
痣	kì
痧	sua
痰	thâm
痱	puì
痲	muâ
痴	tshi
痹	pì
痺	pì
瘋	hong
瘍	iông
瘟	un
瘡	tshng, tshong
瘤	liû
瘦	sán, sóo
瘰	luì
瘸	khuê, khê
瘼	mo̍oh
癀	hông
療	liâu
癆	lô
癉	tan
癌	gâm
癖	phiah, phia̍h
癗	luî
癜	tiō
癡	tshi
癢	tsiūnn, ióng
癩	thái
癬	sián
癮	giàn, ín
癰	ing
癲	tian
癸	kuí
登	ting
發	huat, puh, hua̍t
白	pe̍h, pi̍k
百	pah, peh, pik
皂	tsō
的	ê, --ê, tik, ti̍k
皆	kai
皇	hông
皓	hōo, hō
皮	phuê, phê, phî, pî
皺	jiâu, liâu
盆	phûn
盈	îng
益	ik, iah
盍	khah
盒	a̍p, a̍h
盔	khue
盛	sīng, siānn
盜	tō
盞	tsuánn, tsán
盟	bîng
盡	tsīn
監	kàm, kann, kam
盤	puânn, phuân, puân
盧	lôo
盪	tn̄g, tōng
目	ba̍k, bo̍k
盲	mê, bông, môo, mî
直	ti̍t
相	sio, siong, siòng, sann, siùnn, siunn
盹	tuh
盼	phàn
盾	tún
省	síng
眉	bâi, bî
看	khuànn, khàn, khuàn
真	tsin
眠	bîn, biân
眨	tsha̍p
眩	hîn
眯	bî
眵	tshuh
眷	kuàn
眼	gán, gíng
眾	tsiòng, tsìng
着	tio̍h
睏	khùn
睚	kâinn
睛	tsing
睡	tsuē, suī
督	tok
睦	bo̍k
睨	gîn
睫	tsiah
睭	tsiu
睹	tóo
瞅	tshiu
瞌	kheh, ka, khueh
瞞	muâ
瞪	tènn, tìnn
瞬	sùn
瞭	liâu, lió, liáu
瞳	tông
瞻	tsiam
瞿	khû
矇	bông
矛	mâu, môo
矜	khim, king
矢	sí
矣	--ah
知	tsai, ti
矩	kí, kú
短	té, tuán
矮	é, ué
矯	kiáu
石	tsio̍h, si̍k, sia̍h, si̍h
矸	kan
砂	sua, se
砉	huah
砌	kih
砍	khám
砒	phi
研	gián, gíng
砛	gîm
砧	tiam
砲	phàu
破	phuà, phò
硃	tsu
硐	tōng
硓	lóo
硝	siau
硞	kho̍k, khok
硩	teh
硫	liû
硬	ngē, ngī, gīng
硯	hīnn
硼	phîng
硿	kńg
碇	tiānn, tīng
碌	lo̍k, li̍k
碎	tshuì
碑	pi
碓	tuì
碖	lún
碗	uánn
碟	tia̍p, ti̍h
碡	ta̍k
碣	khat, khiat
碧	phik
碩	si̍k, sik
碭	thn̄g
碰	pōng, phòng
碳	thuànn
確	khak, khia̍k
碼	bé, má
碾	lián
磁	tsû
磅	pōng
磊	luí
磋	tsho
磐	puânn, phuân
磕	kha̍p
磚	tsng, tsuan
磟	la̍k
磨	buâ, bō, môo
磺	hông
礁	ta, tann, tsiau
礎	tshóo
礐	ha̍k
礙	gāi
礤	tshuah
礦	khòng
礪	lè
礬	huân
礱	lâng
示	sī
社	siā
祀	tshāi, sū, sāi
祈	kî
祉	tsí
祐	iū
祕	pì
祖	tsóo
祚	tsà
祝	tsiok
神	sîn
祟	sui, suī
祠	sû, sī
祥	siông
祧	thiāu
票	phiò, phiàu
祭	tsè
祺	kî
祿	lo̍k
禁	kìm
禍	hō, ē
禎	tsing
福	hok
禦	gū
禧	hi
禪	siân, siān
禮	lé
禱	tó
禹	ú
禽	khîm
禾	hô
禿	thuh, thut
秀	siù
私	su, sai, si
秉	píng
秋	tshiu
科	kho
秒	bió, biáu
秘	pì
租	tsoo
秤	tshìn, pîng
秦	tsîn
秧	ng, iong, iang
秩	tia̍t
秪	te
秫	tsu̍t
秮	tai
移	î
稀	hi
稅	suè, sè
稈	kuáinn
程	tîng, thîng, thiânn
稗	phuē, phē
稚	tī
稜	lîng, līng
稟	pín
稠	tiû
種	tsióng, tsíng, tsìng, tsiòng
稱	tshing
稷	tsik
稻	tiū, tō
稽	khe
稿	kó
穀	kok
穆	bo̍k
穌	soo
積	tsik
穎	ínn
穗	suī, bué
穡	sit, sik
穢	uè, è
穩	ún
穫	hi̍k
穴	hia̍t
究	kiù
穹	kiong
空	khang, khong, khòng, khàng
穿	tshīng, tshng, tshuan
突	tu̍t
窄	tsik
窈	iáu
窒	that
窕	thiáu
窗	thang, tshong
窘	khún
窞	thām
窟	khut
窣	su̍t
窩	o
窮	khîng, kîng, kiông
窯	iô
窵	tiàu
窸	sī, si, si̍h
窺	khui
竄	tshuàn
竅	khiàu, khiò
竇	tōo
竊	tshiap, tshiat
立	li̍p
站	tsām
竟	kìng
章	tsiong, tsiunn
童	tâng, tông
竭	kia̍t
端	tuan, tuann
競	kīng
竹	tik, tiok
竺	tiok
竿	kan, kuann
笆	pa
笈	ki̍p
笑	tshiò, siàu, tshiàu
笒	giám, gím
笙	sing
笛	ta̍t, ti̍k
笠	le̍h, li̍p, lue̍h
符	hû
笨	pūn, pùn
第	tē
笱	kô
筅	tshíng
筆	pit
等	tán, tíng
筊	kiáu
筋	kin, kun
筍	sún
筐	khing, khong
筒	tâng, tông
答	tap, tah
策	tshik
筠	ûn
筧	khiò, kíng, kián
筵	iân
箅	pín
箋	tsian
箍	khoo
箏	tsing
箔	po̍h
箕	ki
算	sǹg, suàn
箠	tshuê, tshê, suî
管	kuán, kóng, kńg
箬	ha̍h
箭	tsìnn, tsiàn
箱	siunn, siong
箴	tsim
箸	tī, tū
節	tseh, tsat, tsiat, tsueh
範	pān, huān
篇	phinn, phian
築	tio̍k
篋	kheh
篙	ko
篠	siáu, siāu
篡	tshuàn
篤	táu, tok, tauh
篦	pìn
篩	thai
篱	lē, luē
篷	phâng, pông, hông
篾	bi̍h, bia̍t
簇	tshok
簡	kán
簪	tsiam
簫	siau
簷	tsînn, liâm
簸	puà
簽	tshiam
簾	lî, nî, liâm
簿	phōo, pho̍k
籃	nâ, lâm
籌	tiû
籍	tsi̍k
籐	tîn
籗	khah
籠	láng, lam, lông, lâng, lāng, lang, lóng
籤	tshiam
籬	lî
籮	luâ, lô
籲	io̍k
米	bí
粅	but
粉	hún
粒	lia̍p
粕	phoh, phok
粗	tshoo
粞	tshè, tshuè
粟	tshik, siok
粧	tsng, tsong
粩	láu
粱	liâng
粹	tshuì
粽	tsàng
精	tsing, tsiann, tsinn
粿	kué, ké
糊	kôo, hôo
糋	tsìnn
糍	tsî
糕	ko
糖	thn̂g
糙	tshò
糜	muê, bê, mi
糝	sám
糞	pùn, hùn
糟	tsau
糠	khng, khong
糧	niû
糴	tia̍h, ti̍k
糶	thiò, thiàu
系	hē
糾	kiù
紀	kì, kí, khí
紂	tiū
約	iok
紅	âng, hông
紋	bûn
納	la̍p
紐	liú
純	sûn
紗	se, sa
紙	tsuá
級	kip
紛	hun
素	sòo
紡	pháng, hóng
索	soh, sik
紩	thīnn
紫	tsí
紬	thiu
紮	tsah, tsat, tsap
累	luī, luí
細	sè, suè
紲	suà
紳	sin
紹	siāu
紺	khóng
終	tsiong
絃	hiân
組	tsoo
絆	puànn, puàn
結	kiat, kat
絕	tsua̍t, tse̍h
絚	ân
絞	ká, káu
絡	le, lo̍k, lo̍h
絢	hiàn, sûn
給	kip
絨	jiông, liông
絪	in
絮	sù
統	thóng
絲	si
絳	kòng
絹	kìn
綁	páng
經	king, kenn, kinn
綜	tsong, tsòng
綠	li̍k, lio̍k
綢	tiû
維	uî, î
綰	kuānn
綱	kong
網	bāng, bóng
綴	tuè, tè, tuat
綵	tshái
綸	kuan, lûn
綹	liú
綺	khí
綽	tshiok
綾	lîng
綿	mî, biân
緊	kín
緒	sū
線	suànn
緝	tsi̍p, tship
緞	tuān
緟	thōng
締	tè
緣	iân
編	pian, pinn
緩	uān
緯	uī
練	liān
緻	tì, tī
縋	luī
縐	tsò
縒	tsua̍h
縖	hâ
縛	pa̍k
縣	kuān
縫	phāng, pâng, hông
縭	li, lî
縮	sok, siok
縱	tshióng, tshiòng, tshiong
總	tsóng, tsáng
績	tsik, tseh
繁	huân
繃	penn, pinn
繆	biū
繏	sǹg
繐	sui
織	tsit
繚	liāu
繞	jiàu, liàu
繡	siù
繩	tsîn, sîng
繪	huē
繫	hē
繭	kián, kíng
繳	kiáu
繼	kè
續	sio̍k
纏	tînn, tiân
纓	inn, iann, ing, enn
纖	siam
纜	lám, lām
缸	kng, kong
缺	khih, khueh, khuat, kheh
缽	puah, puat
罈	thâm
罐	kuàn
罔	bóng
罕	hán
罟	koo
罨	am
罩	tà, tàu
罪	tsuē, tsē
置	tì
罰	hua̍t
署	sú, sū
罵	mē, mā, má, mâ
罷	pā
罾	tsan
羅	lô, ló
羊	iûnn, iông
羌	kiunn, kiong
美	bí, bué, bé, bi
羓	pa
羔	ko
羞	tshiu, siu
群	kûn
羨	siān
義	gī
羯	kiat
羶	hiàn
羹	kenn, kinn, king
羽	ú
翁	ang, ong
翅	tshì
翎	līng
習	si̍p
翔	siông
翕	hip
翟	ti̍k
翠	tshuì
翡	huí
翩	phian
翰	hān
翱	kō
翳	ì, è
翸	phún
翹	khiàu
翻	huan
翼	si̍t, i̍k
耀	iāu
老	lāu, láu, ló, nóo, lōo
考	khó
者	tsiá
耆	kî
而	jî, lî
耍	sńg
耎	luán
耐	nāi
耕	king
耘	ûn
耙	pê, pē
耞	kínn, kénn
耳	hīnn, hī, ní
耶	iâ
耽	tânn
耿	kíng
聆	lîng
聊	liâu
聖	sìng, siànn
聘	phìng
聚	tsū
聞	bûn
聬	áng
聯	liân
聰	tshong
聲	siann, sing
聳	tshàng, sáng
聶	lia̍p
職	tsit
聽	thiann, thìng, thing
聾	lâng, lông
聿	u̍t
肅	siok
肆	sù
肇	tiāu
肉	bah, jio̍k, lio̍k, hi̍k
肋	li̍k
肌	ki
肓	bông
肖	siàu
肘	tiú
肚	tóo, tōo
肛	kong
肝	kuann, kan
股	kóo
肢	ki
肥	puî, huî
肨	hàng
肩	king, kian
肭	leh
肯	khíng
肱	kong
育	io, io̍k
肴	ngâu
肺	hì
胃	uī
背	puē, puè
胎	thai, the
胖	phàng
胘	kiān
胚	phue, phe
胛	kah
胞	pau
胡	hôo, ôo
胭	ian
胮	hàng
胰	î
胱	kong
胳	koh
胴	tâng
胸	hing, hiong
能	lîng
胿	kui, kuai
脂	tsi
脅	hia̍p
脆	tshè, tshuì
脈	me̍h, bi̍k
脊	tsiah, tsit, tsik
脣	tûn
脫	thuat, thu̍t, thut, thuah
脬	pha
脯	póo
脰	tāu
脹	tiùnn, tiòng
脽	tsui
脾	pî, phî
腋	i̍k
腌	a
腎	siān, sīn
腐	hū, hú
腑	hú
腔	khiunn, tshiunn, khiong, khiang
腕	uánn, uán
腡	lê
腥	tshenn, tshènn, tshinn, tshìnn
腦	náu, ló, nóo
腩	lám
腫	tsíng
腮	tshi
腰	io, iau
腱	kiàn, kiān
腳	kioh, kha, kiok
腸	tn̂g, tshiâng, tiông, tshiân
腹	pak, hok
腿	thuí
膀	phông
膁	liám
膈	keh
膋	lâ
膎	kê, kuê
膏	ko, kô, koo
膚	hu
膜	mo̍oh
膝	sit, tshik
膠	ka
膣	tsi
膨	phòng
膩	jī, lī
膭	kuī
膽	tánn, tám
膿	lâng, lông
臁	liâm
臆	ioh, ik
臉	lián, liám
臊	tsho, tshau
臍	tsâi, tsê
臘	la̍h, lia̍p
臟	tsōng, tsn̄g
臢	tsa
臣	sîn
臥	ngōo
臧	tsong
臨	lîm, lím
自	tsū
臭	tshàu
至	tsì
致	tì
臺	tâi
臼	khū
舀	iúnn
舂	tsing
舅	kū, kiū
與	ú, í
興	hing, hìng, hin
舉	kí, kú
舊	kū, kiū
舌	tsi̍h, sia̍t
舍	sià
舐	tsīnn, tsn̄g
舒	tshu, su, soo
舖	phòo
舜	sùn
舞	bú
舟	tsiu
舢	sam
舨	pán
航	hâng
般	puann, pan
舵	tāi, tuā, tō
舷	hiân
船	tsûn
舺	kah
艇	thíng
艋	báng
艙	tshng, tshong
艚	tsô
艦	lām, kàm
良	liông
艱	kan
色	sik
艷	iām
艾	ngāi, hiānn
芋	ōo, ū
芍	tsiok
芎	kiong
芒	bông, bâng
芙	phû, hû
芝	tsi
芟	sing, san
芡	khiàn, khiàm
芥	kuà, kài, kè
芫	iân
芬	hun
芭	pa
花	hue, hua
芳	phang, hong
芷	tsí
芹	khîn, khûn
芽	gê, gâ
苑	uán
苒	liâm, jiâm
苓	lîng
苔	thî, thai
苗	biâu, miâu
苛	khô, kho
苞	pôo, pau
苟	kóo
若	nā, ná, lio̍k, jio̍k
苦	khóo, ku
苧	tuē, tē, thú
英	ing
苳	tang
苴	tsū
苻	hû
茂	bōo, ōm
范	huān
茄	ka, kiô
茅	hm̂, mâu
茈	tsínn
茉	bua̍h, ba̍k
茫	bông, bâng
茭	ka, kha
茯	ho̍k
茱	tsu
茵	in
茶	tê, te
茸	liông, jiông
荀	sûn
荇	hīng
草	tsháu, tshó
荊	king
荍	siô
荏	lám
荐	tsiàn
荒	hng, hong
荔	nāi
荖	láu, ló, lāu
荳	tōo
荷	hô, huê, hâ
荽	sui
莉	nī
莊	tsng, tsong
莎	so, sa
莒	kí
莓	m̂, muî
莖	huâinn, king
